name,HA_segID,Subtype,original_clade,Clade_group,Domestic_Status,zoonotic_case,date
H5N1|A/chicken/Nigeria/VRD21-109_21VIR2370-425/2021|MW961460|2021-03-01,MW961460,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Domestic,non-zoonotic,2021.3.1
H5N8|A/Mule_duck/France/20323/2020|MZ166252|2020-12-06,MZ166252,H5N8,2.3.4.4b,H5N8_2.3.4.4b,Wild,non-zoonotic,2020.12.6
H5N2|A/chicken/Aguascalientes/CPA-08115-19/2019|MZ564700|2019-05-13,MZ564700,H5N2,Am-nonGsGD,Am-nonGsGD,Domestic,nonGsGd,2019.5.13
H5N2|A/chicken/Guanajuato/CPA-00801-17/2017|MZ564772|2017-01-16,MZ564772,H5N2,Am-nonGsGD,Am-nonGsGD,Domestic,nonGsGd,2017.1.16
H5N2|A/chicken/Guanajuato/CPA-04382-19/2019|MZ564788|2019-03-15,MZ564788,H5N2,Am-nonGsGD,Am-nonGsGD,Domestic,nonGsGd,2019.3.15
H5N2|A/chicken/Jalisco/CPA-02169-17/2017|MZ564932|2017-01-25,MZ564932,H5N2,Am-nonGsGD,Am-nonGsGD,Domestic,nonGsGd,2017.1.25
H5N2|A/chicken/Jalisco/CPA-04141-19/2019|MZ564988|2019-03-13,MZ564988,H5N2,Am-nonGsGD,Am-nonGsGD,Domestic,nonGsGd,2019.3.13
H5N2|A/chicken/Jalisco/CPA-49745-16/2016|MZ565212|2016-12-19,MZ565212,H5N2,Am-nonGsGD,Am-nonGsGD,Domestic,nonGsGd,2016.12.19
H5N2|A/chicken/Morelos/CPA-05154-17/2017|MZ565268|2017-02-23,MZ565268,H5N2,Am-nonGsGD,Am-nonGsGD,Domestic,nonGsGd,2017.2.23
H5N2|A/chicken/Puebla/CPA-03924-19/2019|MZ565292|2019-03-11,MZ565292,H5N2,Am-nonGsGD,Am-nonGsGD,Domestic,nonGsGd,2019.3.11
H5N2|A/chicken/Queretaro/CPA-02177-17/2017|MZ565316|2017-01-31,MZ565316,H5N2,Am-nonGsGD,Am-nonGsGD,Domestic,nonGsGd,2017.1.31
H5N2|A/chicken/Veracruz/CPA-05599-17/2017|MZ565460|2017-03-02,MZ565460,H5N2,Am-nonGsGD,Am-nonGsGD,Domestic,nonGsGd,2017.3.2
H5N2|A/chicken/Veracruz/CPA-13920-18/2018|MZ565476|2018-06-28,MZ565476,H5N2,Am-nonGsGD,Am-nonGsGD,Domestic,nonGsGd,2018.6.28
